team1,team2,score_team1,score_team2,wickets_team1,wickets_team2,team1_away_or_home,team2_home_away,winner,margin,margin_type,time_of_day,series,player_of_match,player_of_match_team,venue,toss,toss_decision,ground,ground_city,ground_country,match_date
South Africa,Kenya,220,196,7,10,away,home,South Africa,24.0,runs,Day,LG Cup,Steve Tikolo,Kenya,"Gymkhana Club Ground, Nairobi",Kenya,field first,Nairobi (Gym),Nairobi,Kenya,1999-09-30
India,Zimbabwe,277,170,6,10,away,away,India,107.0,runs,Day,LG Cup,Sourav Ganguly,India,"Gymkhana Club Ground, Nairobi",Zimbabwe,field first,Nairobi (Gym),Nairobi,Kenya,1999-10-01
South Africa,India,235,209,9,10,away,away,South Africa,26.0,runs,Day,LG Cup,Herschelle Gibbs,South Africa,"Gymkhana Club Ground, Nairobi",India,field first,Nairobi (Gym),Nairobi,Kenya,1999-10-03
West Indies,Bangladesh,292,219,6,5,away,home,West Indies,73.0,runs,Day and night,West Indies tour of Bangladesh,Jimmy Adams,West Indies,"Bangabandhu National Stadium, Dhaka",West Indies,bat first,Dhaka,Dhaka,Bangladesh,1999-10-08
West Indies,Bangladesh,314,205,6,10,away,home,West Indies,109.0,runs,Day and night,West Indies tour of Bangladesh,Brian Lara,West Indies,"Bangabandhu National Stadium, Dhaka",West Indies,bat first,Dhaka,Dhaka,Bangladesh,1999-10-09
Sri Lanka,West Indies,178,181,10,7,away,away,West Indies,3.0,wickets,Day and night,Coca-Cola Champions Trophy,Jimmy Adams,West Indies,Sharjah Cricket Association Stadium,Sri Lanka,bat first,Sharjah,Sharjah,United Arab Emirates,1999-10-13
Pakistan,West Indies,260,130,5,10,away,away,Pakistan,130.0,runs,Day and night,Coca-Cola Champions Trophy,Saeed Anwar,Pakistan,Sharjah Cricket Association Stadium,Pakistan,bat first,Sharjah,Sharjah,United Arab Emirates,1999-10-14
Pakistan,Sri Lanka,196,196,10,10,away,away,Match tied,35.52088452088452,runs,Day and night,Coca-Cola Champions Trophy,Abdul Razzaq,Pakistan,Sharjah Cricket Association Stadium,Pakistan,bat first,Sharjah,Sharjah,United Arab Emirates,1999-10-15
West Indies,Sri Lanka,145,146,10,1,away,away,Sri Lanka,9.0,wickets,Day and night,Coca-Cola Champions Trophy,Sanath Jayasuriya,Sri Lanka,Sharjah Cricket Association Stadium,West Indies,bat first,Sharjah,Sharjah,United Arab Emirates,1999-10-17
Pakistan,Sri Lanka,239,121,8,10,away,away,Pakistan,118.0,runs,Day and night,Coca-Cola Champions Trophy,Shahid Afridi,Pakistan,Sharjah Cricket Association Stadium,Pakistan,bat first,Sharjah,Sharjah,United Arab Emirates,1999-10-18
Pakistan,West Indies,255,117,5,10,away,away,Pakistan,138.0,runs,Day and night,Coca-Cola Champions Trophy,Azhar Mahmood,Pakistan,Sharjah Cricket Association Stadium,Pakistan,bat first,Sharjah,Sharjah,United Arab Emirates,1999-10-19
Australia,Zimbabwe,303,220,6,10,away,home,Australia,83.0,runs,Day,Australia tour of Zimbabwe,Mark Waugh,Australia,"Queens Sports Club, Bulawayo",Zimbabwe,field first,Bulawayo,Bulawayo,Zimbabwe,1999-10-21
Pakistan,Sri Lanka,211,123,9,10,away,away,Pakistan,88.0,runs,Day and night,Coca-Cola Champions Trophy,Azhar Mahmood,Pakistan,Sharjah Cricket Association Stadium,Pakistan,bat first,Sharjah,Sharjah,United Arab Emirates,1999-10-22
Zimbabwe,Australia,116,117,10,1,home,away,Australia,9.0,wickets,Day,Australia tour of Zimbabwe,Damien Fleming,Australia,Harare Sports Club,Australia,field first,Harare,Harare,Zimbabwe,1999-10-23
Zimbabwe,Australia,200,201,9,1,home,away,Australia,9.0,wickets,Day,Australia tour of Zimbabwe,Andy Flower,Zimbabwe,Harare Sports Club,Australia,field first,Harare,Harare,Zimbabwe,1999-10-24
New Zealand,India,349,306,9,10,away,home,New Zealand,43.0,runs,Day,New Zealand tour of India,Nathan Astle,New Zealand,"Municipal Stadium, Rajkot",New Zealand,bat first,Rajkot,Rajkot,India,1999-11-05
